Last name,First name,PID,State,District,Chamber,Twitter Handle,Total 112th Tweets,,
Ackerman, Gary L,D,NY,5,US House,,0,,
Adams, Sandy,R,FL,24,US House, RepSandyAdams,303,,
Aderholt, Robert B,R,AL,4,US House, Robert_Aderholt,274,,
Akaka, Daniel K,D,HI,,US Senate, SenatorAkaka,386,,
Akin, Todd,R,MO,2,US House, ToddAkin,0,,
Alexander, Rodney,R,LA,5,US House,,0,,
Alexander, Lamar,R,TN,,US Senate, SenAlexander,373,,
Altmire, Jason,D,PA,4,US House,  RepJasonAltmire,300,,
Amash, Justin,R,MI,3,U S  House, repjustinamash,2889,,
Amodei, Mark,R,NV,2,U S  House, MarkAmodeiNV2,338,,
Andrews, Robert E ,D,NJ,1,U S  House,  RepAndrews,0,,
Austria, Steve,R,OH,7,U S  House, SteveAustria,218,,
Ayotte, Kelly,R,NH,,U S  Senate,KellyAyotte ,1296,,
Baca, Joe,D,CA,43,U S  House, repjoebaca,489,,
Bachmann, Michele,R,MN,6,U S  House,MicheleBachmann,1238,,
Bachus, Spencer,R,AL,6,U S  House,BachusAL06,222,,
Baldwin,Tammy,D,WI,2,U S  House, TammyBaldwinWI,0,,
Barber, Ron,D,AZ,8,U S  House,  repronbarber,114,,
Barletta, Lou,R,PA,11,U S  House, RepLouBarletta,851,,
Barrasso, John,R,WY,,U S  Senate, SenJohnBarrasso,697,,
Barrow, John,D,GA,12,U S  House, repjohnbarrow,259,,
Bartlett, Roscoe G ,R,MD,6,U S  House,,0,,
Barton, Joe L ,R,TX,6,U S  House, RepJoeBarton,318,,
Bass, Karen,D,CA,33,U S  House,  repkarenbass,902,,
Bass, Charles,R,NH,2,U S  House, RepCharlesBass,1614,,
Baucus, Max,D,MT,,U S  Senate, maxbaucus,2156,,
Becerra, Xavier,D,CA,31,U S  House,  repbecerra,679,,
Begich, Mark,D,AK,,U S  Senate, senatorbegich,314,,
Benishek, Dan,R,MI,1,U S  House, CongressmanDan,124,,
Bennet, Michael,D,CO,,U S  Senate, senbennentco,156,,
Berg, Rick,R,ND,1,U S  House, RickBergND,276,,
Berkley, Shelley,D,NV,1,U S  House, repberkley,313,,
Berman, Howard L ,D,CA,28,U S  House, rephowardberman,155,,
Biggert, Judy,R,IL,13,U S  House, JudyBiggert,418,,
Bilbray, Brian P ,R,CA,50,U S  House, BilbrayCA50,143,,
Bilirakis, Gus,R,FL,9,U S  House, RepGusBilirakis,1342,,
Bingaman, Jeff,D,NM,,U S  Senate,,227,,
Bishop, Timothy H ,D,NY,1,U S  House, timbishopny,226,,
Bishop, Sanford D ,D,GA,2,U S  House, sanfordbishop,414,,
Bishop, Rob,R,UT,1,U S  House,  RepRobBishop,0,,
Black, Diane,R,TN,6,U S  House, RepDianeBlack,974,,
Blackburn, Marsha,R,TN,7,U S  House, MarshaBlackburn,796,,
Blumenauer, Earl,D,OR,3,U S  House, repblumenauer,475,,
Blumenthal, Richard,D,CT,,U S  Senate, senblumenthal,199,,
Blunt, Roy,R,MO,,U S  Senate, RoyBlunt,2060,,
Boehner, John A ,R,OH,8,U S  House, johnboehner,1674,,
Bonamici, Suzanne,D,OR,1,U S  House, repbonamici,92,,
Bonner, Jo,R,AL,1,U S  House, RepJoBonner,354,,
Bono Mack, Mary,R,CA,45,U S  House, MaryBonoUSA,1367,,
Boozman, John,R,AR,,U S  Senate, JohnBoozman,518,,
Boren, Dan,D,OK,2,U S  House,,0,,
Boswell, Leonard L ,D,IA,3,U S  House, LeonardBoswell,95,,
Boustany, Charles,R,LA,3,U S  House, RepBoustany,126,,
Boxer, Barbara,D,CA,,U S  Senate, SenatorBoxer,642,,
Brady, Robert A ,D,PA,1,U S  House, RepBrady,182,,
Brady, Kevin,R,TX,8,U S  House,RepKevinBrady,1095,,
Braley, Bruce,D,IA,1,U S  House,,0,,
Brooks, Mo,R,AL,5,U S  House, RepMoBrooks,214,,
Broun, Paul,R,GA,10,U S  House, RepPaulBrounMD,559,,
