Last_Name,Full_Name,Last_First,State_District,PID,Gender,Age,House_Comp_Dec12,Comp_Oct31_14,Congress,Chamber,Twitter,Number_Tweets
Adherholt,Rob Aderholt,"Aderholt, Robert",Alabama 4th District,R,0,50,1,1,113,House,Robert_Aderholt,845
Amash,Justin Amash,"Amash, Justin",Michigan 3rd District,R,0,34,2,1,113,House, repjustinamash,3298
Amodei,Mark Amodei,"Amodei, Mark",Nevada 2nd District,R,0,56,1,1,113,House,MarkAmodeiNV2,492
Bachmann,Michelle Bachmann,"Bachmann, Michele",Minnesota 6th District,R,1,58,0,0,113,House,MicheleBachmann,1321
Bachus,Spencer Bachus,"Bachus, Spencer",Alabama 6th District,R,0,67,0,0,113,House,BachusAL06,185
Barletta,Louis Barletta,"Barletta, Lou",Pennsylvania 11th District,R,0,58,1,1,113,House,RepLouBarletta,281
Barr,Andy Barr,"Barr, Andy",Kentucky 6th District,R,0,41,2,1,113,House,RepAndyBarr,1705
Barton,Joe Barton,"Barton, Joe",Texas 6th District,R,0,65,1,1,113,House,RepJoeBarton,641
Benishek,Dan Benishek,"Benishek, Dan",Michigan 1st District,R,0,62,2,2,113,House,CongressmanDan,316
Bentivolio,Kerry Bentivolio,"Bentivolio, Kerry",Michigan 11th District,R,0,63,0,0,113,House,RepKerryB,1051
Bilirakis,Gus Bilirakis,"Bilirakis, Gus M.",Florida 12th District,R,0,51,1,1,113,House,RepGusBilirakis,1011
Bishop,Rob Bishop,"Bishop, Rob",Utah 1st District,R,0,63,1,1,113,House, RepRobBishop,0
Black ,Diane Black,"Black, Diane",Tennessee 6th District,R,1,63,1,1,113,House,RepDianeBlack,2057
Blackburn,Marsha Blackburn,"Blackburn, Marsha",Tennessee 7th District,R,1,62,1,1,113,House,MarshaBlackburn,2036
Boehner,John Boehner,"Boehner, John A.",Ohio 8th District,R,0,65,1,1,113,House,SpeakerBoehner,3868
Boustany,Charles Boustany,"Boustany Jr., Charles W.",Louisiana 3rd District,R,0,58,1,1,113,House,RepBoustany,307
Brady,Kevin Brady,"Brady, Kevin",Texas 8th District,R,0,59,1,1,113,House, RepKevinBrady,3392
Bridenstine,Jim Bridenstine,"Bridenstine, Jim",Oklahoma 1st District,R,0,39,1,1,113,House,RepJBridenstine,1025
Brooks,Mo Brooks,"Brooks, Mo",Alabama 5th District,R,0,60,1,1,113,House,RepMoBrooks,324
Brooks,Susan Brooks,"Brooks, Susan W.",Indiana 5th District,R,1,54,1,1,113,House, SusanWBrooks,747
Broun,Paul Broun,"Broun, Paul C.",Georgia 10th District,R,0,68,0,0,113,House,RepPaulBrounMD,671
Buchanan,Vern Buchanan,"Buchanan, Vern",Florida 16th District,R,0,63,1,1,113,House,VernBuchanan,210
Buchshon,Larry Bucshon,"Bucshon, Larry",Indiana 8th District,R,0,52,1,1,113,House,RepLarryBucshon,1247
Burgess,Michael Burgess,"Burgess, Michael",Texas 26th District,R,0,64,1,1,113,House,michaelcburgess,1062
Byrne,Bradley Byrne,"Byrne,Bradley",Alabama 1st District,R,0,59,1,1,113,House, RepByrne,2308
Calvert,Ken Calvert,"Calvert, Ken",California 42nd District,R,0,61,1,1,113,House,KenCalvert,1182
Camp,Dave Camp,"Camp, Dave",Michigan 4th District,R,0,61,0,0,113,House,RepDaveCamp,381
Campbell,John Campbell,"Campbell, John",California 45th District,R,0,59,0,0,113,House,RepJohnCampbell,526
Cantor,Eric Cantor,"Cantor, Eric -- Vacancy",Virginia 7th District,R,0,51,0,0,113,House,EricCantor,2884
Capito,Shelley Capito,"Capito, Shelley Moore",West Virginia 2nd District,R,1,61,0,0,113,House,RepShelley,681
Carter,John Carter,"Carter, John",Texas 31st District,R,0,73,1,1,113,House,JudgeCarter,1682
Cassidy,Bill Cassidy,"Cassidy, William",Louisiana 6th District,R,0,57,0,0,113,House,BillCassidy,1605
Chabot,Steve Chabot,"Chabot, Steve",Ohio 1st District,R,0,61,1,1,113,House,RepSteveChabot,1098
Chaffetz,Jason Chaffetz,"Chaffetz, Jason",Utah 3rd District,R,0,47,1,1,113,House,jasoninthehouse,1925
Clawson,Curt,"Clawson,Curt",Florida 19th District,R,0,55,1,1,113,House,,86
Coble,Howard Coble,"Coble, Howard",North Carolina 6th District,R,0,83,0,0,113,House,HowardCoble,218
Coffman,Mike Coffman,"Coffman, Mike",Colorado 6th District,R,0,59,2,3,113,House,RepMikeCoffman,404
Cole ,Tom Cole,"Cole, Tom",Oklahoma 4th District,R,0,65,1,1,113,House,tomcoleok04,224
Collins,Doug Collins,"Collins, Chris",New York 27th District,R,0,48,1,1,113,House,RepDougCollins,1287
Collins,Chris Collins,"Collins, Doug",Georgia 9th District,R,0,64,1,1,113,House,collinsNY27,2041
Conaway,Mike Conaway,"Conaway, K. Michael",Texas 11th District,R,0,66,1,1,113,House,ConawayTX11,216
Cook,Paul Cook,"Cook, Paul",California 8th District,R,0,71,1,1,113,House,joinpaulcook,725
Cotton,Tom Cotton,"Cotton, Tom",Arkansas 4th District,R,0,37,0,0,113,House,RepTomCotton,1707
Cramer,Kevin Cramer,"Cramer, Kevin",North Dakota At-Large,R,0,53,1,2,113,House,kevincramer,751
Crawford,Rick Crawford,"Crawford, Rick",Arkansas 1st District,R,0,48,1,1,113,House,RepRickCrawford,1847
Crenshaw,Ander Crenshaw,"Crenshaw, Ander",Florida 4th District,R,0,70,1,1,113,House,AnderCrenshaw,409
Culberson,John Culberson,"Culberson, John",Texas 7th District,R,0,58,1,1,113,House,CongCulberson,728
Daines,Steve,"Daines, Steve",Montana At-Large,R,0,52,0,0,113,House,SteveDaines,1016
Davis,Rodney Davis,"Davis, Rodney",Illinois 13th District,R,0,44,2,2,113,House,RodneyDavis,1839
Denham,Jeff Denham,"Denham, Jeff",California 10th District,R,0,47,2,1,113,House,RepJeffDenham,793
Dent,Charlie Dent,"Dent, Charles W.",Pennsylvania 15th District,R,0,54,1,1,113,House,DentPressShop,579
