Chamber,State,Firstname,Lastname,Twitter Handle Update,PID,Gender,Age,Running14,Sen_Comp_Feb13,Comp_Oct31_14
Senate,Alaska,Mark,Begich,@SenatorBegich,D,0,52,1,4,5
Senate,North Carolina,Kay,Hagan,@SenatorHagan,D,1,61,1,4,3
Senate,Louisiana,Mary,Landrieu,@SenLandrieu,D,1,58,1,4,4
Senate,Arkansas,Mark,Pryor,@SenMarkPryor,D,0,51,1,3,6
Senate,Colorado,Mark,Udall,@MarkUdall,D,0,64,1,2,5
Senate,Wisconsin,Tammy,Baldwin,@SenatorBaldwin,D,1,52,0,0,0
Senate,Montana,Max,Baucus,MaxBaucus,D,0,,0,0,0
Senate,Colorado,Michael,Bennet,@SenBennetCO,D,0,49,0,0,0
Senate,Connecticut,Richard,Blumenthal,@SenBlumenthal,D,0,68,0,0,0
Senate,New Jersey,Cory,Booker,@SenBookerOfc,D,0,46,1,2,1
Senate,California,Barbara,Boxer,@SenatorBoxer,D,1,70,0,0,0
Senate,Ohio,Sherrod,Brown,@SenSherrodBrown,D,0,61,0,0,0
Senate,Washington,Maria,Cantwell,@CantwellPress,D,1,56,0,0,0
Senate,Maryland,Ben,Cardin,@SenatorCardin,D,0,71,0,0,0
Senate,Delaware,Tom,Carper,SenatorCarper,D,0,67,0,0,0
Senate,Pennsylvania,Bob,"Casey, Jr ",@SenBobCasey,D,0,54,0,0,0
Senate,Delaware,Chris,Coons,@ChrisCoons,D,0,51,1,1,1
Senate,Indiana,Joe,Donnelly,@SenDonnelly,D,0,59,0,0,0
Senate,Illinois,Dick,Durbin,@SenatorDurbin,D,0,69,1,2,1
Senate,California,Dianne,Feinstein,@SenFeinstein,D,1,81,0,0,0
Senate,Minnesota,Al,Franken,@alfranken,D,0,63,1,3,2
Senate,New York,Kirsten,Gillibrand,@SenGillibrand,D,1,47,0,0,0
Senate,Iowa,Tom,Harkin,SenatorHarkin,D,0,74,0,0,0
Senate,New Mexico,Martin,Heinrich,@MartinHeinrich,D,0,43,0,0,0
Senate,North Dakota,Heidi,Heitkamp,@SenatorHeitkamp,D,1,59,0,0,0
Senate,Hawaii,Mazie,Hirono,@maziehirono,D,1,67,0,0,0
Senate,South Dakota,Tim,Johnson,SenJohnsonSD,D,0,67,0,0,0
Senate,Virginia,Tim,Kaine,@timkaine,D,0,56,0,0,0
Senate,Massachusetts,John,Kerry,JohnKerry,D,0,,0,0,0
Senate,Minnesota,Amy,Klobuchar,@amyklobuchar,D,1,54,0,0,0
Senate,New Jersey,Frank,Lautenberg,@FrankLautenberg,D,0,,0,0,0
Senate,Vermont,Patrick,Leahy,@SenatorLeahy,D,0,74,0,0,0
Senate,Michigan,Carl,Levin,SenCarlLevin,D,0,80,0,0,0
Senate,West Virginia,Joe,Manchin,@Sen_JoeManchin,D,0,67,0,0,0
Senate,Massachusetts,Ed,Markey,@MarkeyMemo,D,0,68,1,2,1
Senate,Missouri,Claire,McCaskill,@clairecmc,D,1,61,0,0,0
Senate,New Jersey,Bob,Menendez,@SenatorMenendez,D,0,60,0,0,0
Senate,Oregon,Jeff,Merkley,@SenJeffMerkley,D,0,58,1,2,2
Senate,Maryland,Barbara,Mikulski,@SenatorBarb,D,1,78,0,0,0
Senate,Connecticut,Chris,Murphy,@ChrisMurphyCT,D,0,41,0,0,0
